Volume	HaloGRP@z0	HaloType
r431	1	Central
r431	14	Satellite
r431	16	Satellite
r431	137	Satellite
r442	1	Central
r442	2	Satellite
r442	10	Satellite
r442	13	Satellite
r442	35	Satellite
r442	90	Satellite
r468	1	Central
r468	53	Satellite
r468	173	Satellite
r492	1	Central
r492	849	Satellite
r502	1	Central
r502	4	Satellite
r502	8	Satellite
r502	15	Satellite
r502	88	Satellite
r502	448	Satellite
r515	1	Central
r515	110	Satellite
r523	1	Central
r556	1	Central
r556	2	Satellite
r556	10	Satellite
r556	160	Satellite
r568	1	Central
r568	531	Satellite
r569	1	Central
r569	63	Satellite
r569	433	Satellite
r571	1	Central
r571	2	Satellite
r571	189	Satellite
r597	1	Central
r597	43	Satellite
r597	3050	Satellite
r613	1	Central
r613	31	Satellite
r613	64	Satellite
r613	687	Satellite
r615	1	Central
r615	5	Satellite
r615	7	Satellite
r615	54	Satellite
r615	122	Satellite
r615	280	Satellite
r615	282	Satellite
r615	794	Satellite
r618	1	Central
r634	1	Central
