Volume	HaloGRP@z0	HaloType
r431	1	Central
r442	1	Central
r468	1	Central
r488	1	Central
r489	1	Central
r492	1	Central
r502	1	Central
r515	1	Central
r523	1	Central
r544	1	Central
r552	1	Central
r555	1	Central
r556	1	Central
r563	1	Central
r568	1	Central
r569	1	Central
r571	1	Central
r597	1	Central
r613	1	Central
r614	1	Central
r615	1	Central
r618	1	Central
r634	1	Central
r642	1	Central
r656	1	Central
r707	1	Central
r716	1	Central
r718	1	Central
r753	1	Central
r761	1	Central
r850	1	Central
r852	1	Central
r886	1	Central
r916	1	Central
r918	1	Central
r977	1	Central
r1023	1	Central
